test_object,true_type,classified_as,decision_value,material_name,rigidity,glossiness,decision_value_norm,Glossiness,Rigidity,Enviroment_Map,Texture,init_rot,end_rot,Force,disp_scale,disp_depth,glossID,rigidID,type_truncted,type8way,detail,obj_dir,shiny_adap_trials.thisRepN,shiny_adap_trials.thisTrialN,shiny_adap_trials.thisN,shiny_adap_trials.thisIndex,gloss_trials.thisRepN,gloss_trials.thisTrialN,gloss_trials.thisN,gloss_trials.thisIndex,high_dec_dir,low_dec_dir,groundTruth,highInd,lowInd,deltaDecision,actual_target_pos,response.keys,response.rt,cor_preddnn,participant,session,date,expName,psychopyVersion,frameRate,
126,0,0,-23.74143063,"shiny_soft_gothicManor_None_[7, 0, 0]_[7, 0, 0]_CHARGE_1.961_1_5",soft,shiny,-1.0,shiny,soft,gothicManor,None,"[7, 0, 0]","[7, 0, 0]",CHARGE,1.961,1,0,1,1,-1,-1,validationSet_v7_movies/126.mp4,,,,,1,0,20,0,validationSet_v7_movies/280.mp4,validationSet_v7_movies/276.mp4,shiny,280,276,-0.631381049,left,['left'],[0.02065940000466071],1,477438,001,2023-04-06_16h48.00.847,non_rigid_shiny_experiment_v3,2022.2.4,60.081097470875775,
182,0,0,-20.90701178,"shiny_soft_abandoned_None_[86, 0, 0]_[86, 0, 0]_WIND_1.99_2_7",soft,shiny,-0.895587453,shiny,soft,abandoned,None,"[86, 0, 0]","[86, 0, 0]",WIND,1.99,2,0,1,1,-1,-1,validationSet_v7_movies/182.mp4,,,,,1,1,21,1,validationSet_v7_movies/281.mp4,validationSet_v7_movies/67.mp4,shiny,281,67,-0.854525705,left,['left'],[0.008555000007618219],1,477438,001,2023-04-06_16h48.00.847,non_rigid_shiny_experiment_v3,2022.2.4,60.081097470875775,
298,0,0,-19.53749142,"shiny_rigid_machineShop_None_[19, 0, 0]_[-46, -50, -54]_None_1.838_2_5",rigid,shiny,-0.845137919,shiny,rigid,machineShop,None,"[19, 0, 0]","[-46, -50, -54]",None,1.838,2,0,0,2,1,1,validationSet_v7_movies/298.mp4,,,,,1,2,22,2,validationSet_v7_movies/151.mp4,validationSet_v7_movies/392.mp4,shiny,151,392,-0.6523233270000001,left,['left'],[0.25572670000838116],1,477438,001,2023-04-06_16h48.00.847,non_rigid_shiny_experiment_v3,2022.2.4,60.081097470875775,
281,0,0,-18.99610056,"shiny_rigid_machineShop_None_[76, 0, 0]_[-53, 38, 48]_None_1.693_2_0",rigid,shiny,-0.825194501,shiny,rigid,machineShop,None,"[76, 0, 0]","[-53, 38, 48]",None,1.693,2,0,0,2,1,1,validationSet_v7_movies/281.mp4,,,,,1,3,23,3,validationSet_v7_movies/294.mp4,validationSet_v7_movies/188.mp4,shiny,294,188,-0.79545733,right,['left'],[0.018738499988103285],0,477438,001,2023-04-06_16h48.00.847,non_rigid_shiny_experiment_v3,2022.2.4,60.081097470875775,
282,0,0,-18.18064232,"shiny_rigid_machineShop_None_[68, 0, 0]_[48, 43, -35]_None_1.08_0_14",rigid,shiny,-0.795155161,shiny,rigid,machineShop,None,"[68, 0, 0]","[48, 43, -35]",None,1.08,0,0,0,2,1,1,validationSet_v7_movies/282.mp4,,,,,1,4,24,4,validationSet_v7_movies/282.mp4,validationSet_v7_movies/155.mp4,shiny,282,155,-0.730064628,right,['left'],[0.2403148000012152],0,477438,001,2023-04-06_16h48.00.847,non_rigid_shiny_experiment_v3,2022.2.4,60.081097470875775,
294,0,0,-18.1286322,"shiny_rigid_machineShop_None_[26, 0, 0]_[48, -42, -46]_None_1.876_2_15",rigid,shiny,-0.793239245,shiny,rigid,machineShop,None,"[26, 0, 0]","[48, -42, -46]",None,1.876,2,0,0,2,1,1,validationSet_v7_movies/294.mp4,,,,,1,5,25,5,validationSet_v7_movies/110.mp4,validationSet_v7_movies/264.mp4,shiny,110,264,-0.692082948,right,['left'],[0.3346966999815777],0,477438,001,2023-04-06_16h48.00.847,non_rigid_shiny_experiment_v3,2022.2.4,60.081097470875775,
110,0,0,-17.80273237,"shiny_soft_lobby_None_[61, 0, 0]_[61, 0, 0]_FORCE_1.816_1_19",soft,shiny,-0.781233951,shiny,soft,lobby,None,"[61, 0, 0]","[61, 0, 0]",FORCE,1.816,1,0,1,1,-1,-1,validationSet_v7_movies/110.mp4,,,,,1,6,26,6,validationSet_v7_movies/298.mp4,validationSet_v7_movies/235.mp4,shiny,298,235,-0.697577738,left,['left'],[0.13317350001307204],1,477438,001,2023-04-06_16h48.00.847,non_rigid_shiny_experiment_v3,2022.2.4,60.081097470875775,
151,0,0,-17.78750367,"shiny_soft_galileo_None_[54, 0, 0]_[54, 0, 0]_MAGNET_1.292_0_7",soft,shiny,-0.780672966,shiny,soft,galileo,None,"[54, 0, 0]","[54, 0, 0]",MAGNET,1.292,0,0,1,1,-1,-1,validationSet_v7_movies/151.mp4,,,,,1,7,27,7,validationSet_v7_movies/182.mp4,validationSet_v7_movies/366.mp4,shiny,182,366,-0.871660845,right,['left'],[0.24726379997446202],0,477438,001,2023-04-06_16h48.00.847,non_rigid_shiny_experiment_v3,2022.2.4,60.081097470875775,
280,0,0,-17.44307924,"shiny_rigid_machineShop_None_[88, 0, 0]_[-54, -35, 29]_None_1.046_0_11",rigid,shiny,-0.767985274,shiny,rigid,machineShop,None,"[88, 0, 0]","[-54, -35, 29]",None,1.046,0,0,0,2,1,1,validationSet_v7_movies/280.mp4,,,,,1,8,28,8,validationSet_v7_movies/117.mp4,validationSet_v7_movies/311.mp4,shiny,117,311,-0.6103428430000001,right,['left'],[0.2717832000053022],0,477438,001,2023-04-06_16h48.00.847,non_rigid_shiny_experiment_v3,2022.2.4,60.081097470875775,
117,0,0,-17.19589897,"shiny_soft_lobby_None_[12, 0, 0]_[12, 0, 0]_WIND_1.567_1_13",soft,shiny,-0.758879802,shiny,soft,lobby,None,"[12, 0, 0]","[12, 0, 0]",WIND,1.567,1,0,1,1,-1,-1,validationSet_v7_movies/117.mp4,,,,,1,9,29,9,validationSet_v7_movies/126.mp4,validationSet_v7_movies/340.mp4,shiny,126,340,-0.866627124,right,['left'],[0.17280230001779273],0,477438,001,2023-04-06_16h48.00.847,non_rigid_shiny_experiment_v3,2022.2.4,60.081097470875775,
311,0,0,-0.627322638,"shiny_rigid_lobby_None_[32, 0, 0]_[47, -44, 0]_None_1.844_2_15",rigid,shiny,-0.148536959,shiny,rigid,lobby,None,"[32, 0, 0]","[47, -44, 0]",None,1.844,2,0,0,2,1,1,validationSet_v7_movies/311.mp4,,,,,1,10,30,10,validationSet_v7_movies/280.mp4,validationSet_v7_movies/340.mp4,shiny,280,340,-0.634612398,left,['left'],[0.2003954999963753],1,477438,001,2023-04-06_16h48.00.847,non_rigid_shiny_experiment_v3,2022.2.4,60.081097470875775,
235,0,0,-0.60080669,"shiny_rigid_uenoShrine_None_[31, 0, 0]_[-44, 30, 36]_None_0.941_0_5",rigid,shiny,-0.147560181,shiny,rigid,uenoShrine,None,"[31, 0, 0]","[-44, 30, 36]",None,0.941,0,0,0,2,1,1,validationSet_v7_movies/235.mp4,,,,,1,11,31,11,validationSet_v7_movies/281.mp4,validationSet_v7_movies/276.mp4,shiny,281,276,-0.688590276,right,['left'],[0.2565953999874182],0,477438,001,2023-04-06_16h48.00.847,non_rigid_shiny_experiment_v3,2022.2.4,60.081097470875775,
276,0,0,-0.303392566,"shiny_rigid_rnl_None_[21, 0, 0]_[-46, 39, 0]_None_1.97_2_19",rigid,shiny,-0.136604225,shiny,rigid,rnl,None,"[21, 0, 0]","[-46, 39, 0]",None,1.97,2,0,0,2,1,1,validationSet_v7_movies/276.mp4,,,,,1,12,32,12,validationSet_v7_movies/151.mp4,validationSet_v7_movies/67.mp4,shiny,151,67,-0.81000417,left,['left'],[0.23344860001816414],1,477438,001,2023-04-06_16h48.00.847,non_rigid_shiny_experiment_v3,2022.2.4,60.081097470875775,
340,0,0,-0.215673261,"shiny_rigid_galileo_None_[9, 0, 0]_[-52, -57, -37]_None_1.011_0_6",rigid,shiny,-0.133372876,shiny,rigid,galileo,None,"[9, 0, 0]","[-52, -57, -37]",None,1.011,0,0,0,2,1,1,validationSet_v7_movies/340.mp4,,,,,1,13,33,13,validationSet_v7_movies/294.mp4,validationSet_v7_movies/392.mp4,shiny,294,392,-0.664889606,right,['left'],[0.024912599998060614],0,477438,001,2023-04-06_16h48.00.847,non_rigid_shiny_experiment_v3,2022.2.4,60.081097470875775,
392,0,0,-0.079310728,"shiny_rigid_abandoned_None_[30, 0, 0]_[29, 35, 43]_None_1.516_2_9",rigid,shiny,-0.128349639,shiny,rigid,abandoned,None,"[30, 0, 0]","[29, 35, 43]",None,1.516,2,0,0,2,1,1,validationSet_v7_movies/392.mp4,,,,,1,14,34,14,validationSet_v7_movies/282.mp4,validationSet_v7_movies/188.mp4,shiny,282,188,-0.797373246,left,['left'],[0.30588410000200383],1,477438,001,2023-04-06_16h48.00.847,non_rigid_shiny_experiment_v3,2022.2.4,60.081097470875775,
